date, value
1971/1/4,357.73
1971/1/5,357.81
1971/1/6,357.86
1971/1/7,357.87
1971/1/8,357.82
1971/1/11,357.95
1971/1/12,358.06
1971/1/13,358.44
1971/1/14,358.4
1971/1/15,358.4
1971/1/18,358.29
1971/1/19,358.35
1971/1/20,358.4
1971/1/21,358.27
1971/1/22,357.9
1971/1/25,357.73
1971/1/26,357.78
1971/1/27,357.79
1971/1/28,357.83
1971/1/29,357.72
1971/2/1,357.67
1971/2/2,357.55
1971/2/3,357.54
1971/2/4,357.51
1971/2/5,357.53
1971/2/8,357.49
1971/2/9,357.5
1971/2/10,357.5
1971/2/11,357.5
1971/2/16,357.53
1971/2/17,357.53
1971/2/18,357.53
1971/2/19,357.56
1971/2/22,357.6
1971/2/23,357.55
1971/2/24,357.6
1971/2/25,357.56
1971/2/26,357.56
1971/3/1,357.63
1971/3/2,357.56
1971/3/3,357.49
1971/3/4,357.45
1971/3/5,357.59
1971/3/8,357.55
1971/3/9,357.46
1971/3/10,357.59
1971/3/11,357.56
1971/3/12,357.58
1971/3/15,357.54
1971/3/16,357.49
1971/3/17,357.53
1971/3/18,357.56
1971/3/19,357.56
1971/3/22,357.44
1971/3/23,357.53
1971/3/24,357.53
1971/3/25,357.47
1971/3/26,357.47
1971/3/29,357.44
1971/3/30,357.49
1971/3/31,357.42
1971/4/1,357.49
1971/4/2,357.53
1971/4/5,357.5
1971/4/6,357.46
1971/4/7,357.55
1971/4/8,357.55
1971/4/9,357.5
1971/4/12,357.5
1971/4/13,357.62
1971/4/14,357.58
1971/4/15,357.5
1971/4/16,357.54
1971/4/19,357.49
1971/4/20,357.49
1971/4/21,357.49
1971/4/22,357.49
1971/4/23,357.49
1971/4/26,357.5
1971/4/27,357.49
1971/4/28,357.5
1971/4/29,357.41
1971/4/30,357.4
1971/5/3,357.41
1971/5/4,357.4
1971/5/5,357.4
1971/5/6,357.41
1971/5/7,357.41
1971/5/10,357.14
1971/5/11,357.44
1971/5/12,357.53
1971/5/13,357.49
1971/5/14,357.49
1971/5/17,357.4
1971/5/18,357.44
1971/5/19,357.4
1971/5/20,357.46
1971/5/21,357.4
1971/5/24,357.4
1971/5/25,357.4
1971/5/26,357.44
1971/5/27,357.4
1971/5/28,357.4
1971/6/1,357.46
1971/6/2,357.4
1971/6/3,357.46
1971/6/4,357.4
1971/6/7,357.4
1971/6/8,357.4
1971/6/9,357.4
1971/6/10,357.4
1971/6/11,357.4
1971/6/14,357.4
1971/6/15,357.46
1971/6/16,357.46
1971/6/17,357.46
1971/6/18,357.4
1971/6/21,357.4
1971/6/22,357.4
1971/6/23,357.4
1971/6/24,357.4
1971/6/25,357.4
1971/6/28,357.37
1971/6/29,357.39
1971/6/30,357.4
1971/7/1,357.4
1971/7/2,357.4
1971/7/6,357.45
1971/7/7,357.46
1971/7/8,357.46
1971/7/9,357.4
1971/7/12,357.41
1971/7/13,357.44
1971/7/14,357.4
1971/7/15,357.4
1971/7/16,357.4
1971/7/19,357.39
1971/7/20,357.39
1971/7/21,357.4
1971/7/22,357.37
1971/7/23,357.36
1971/7/26,357.4
1971/7/27,357.37
1971/7/28,357.4
1971/7/29,357.4
1971/7/30,357.39
1971/8/2,357.41
1971/8/3,357.37
1971/8/4,357.37
1971/8/5,357.37
1971/8/6,357.37
1971/8/9,357.35
1971/8/10,357.39
1971/8/11,357.35
1971/8/12,357.4
1971/8/13,357.35
1971/8/31,339.85
1971/9/1,341.01
1971/9/2,338.98
1971/9/3,340.14
1971/9/7,339.79
1971/9/8,339.39
1971/9/9,339.07
1971/9/10,338.81
1971/9/13,338.98
1971/9/14,338.24
1971/9/15,338.41
1971/9/16,337.84
1971/9/17,337.95
1971/9/20,337.27
1971/9/21,337.34
1971/9/22,337.44
1971/9/23,337.27
1971/9/24,336.98
1971/9/27,336.25
1971/9/28,336.36
1971/9/29,335.57
1971/9/30,335.35
1971/10/1,333.39
1971/10/4,333.17
1971/10/5,333.14
1971/10/6,332.65
1971/10/7,332.61
1971/10/8,332.37
1971/10/12,330.52
1971/10/13,331.4
1971/10/14,330.85
1971/10/15,330.58
1971/10/18,329.6
1971/10/19,330.85
1971/10/20,331.07
1971/10/21,330.79
1971/10/22,330.36
1971/10/26,329
1971/10/27,329.54
1971/10/28,329.71
1971/10/29,329.5
1971/11/1,329.45
1971/11/3,329.5
1971/11/4,330.87
1971/11/5,329.16
1971/11/8,329.22
1971/11/9,329.16
1971/11/10,329.11
1971/11/11,329.11
1971/11/12,329.49
1971/11/15,328.73
1971/11/16,328.62
1971/11/17,328.8
1971/11/18,328.68
1971/11/19,328.4
1971/11/22,328.41
1971/11/23,328.19
1971/11/24,328.04
1971/11/26,327.6
1971/11/29,327.06
1971/11/30,327.44
1971/12/1,327.6
1971/12/2,326
1971/12/3,325.1
1971/12/6,326.53
1971/12/7,323.62
1971/12/8,323.5
1971/12/9,323.52
1971/12/10,323.1
1971/12/13,322.79
1971/12/14,322.58
1971/12/15,321.54
1971/12/16,320
1971/12/17,320.36
1971/12/21,314.98
1971/12/22,314.96
1971/12/23,315.01
1971/12/24,315.21
1971/12/27,314.96
1971/12/28,315.01
1971/12/29,315.21
1971/12/30,315.01
1971/12/31,315.01
1972/1/3,314.86
1972/1/4,314.96
1972/1/5,314.86
1972/1/6,312.01
1972/1/7,312.5
1972/1/10,312.99
1972/1/11,314.47
1972/1/12,313.48
1972/1/13,313.97
1972/1/14,312.99
1972/1/17,313.38
1972/1/18,312.89
1972/1/19,312.79
1972/1/20,312.01
1972/1/21,312.3
1972/1/24,312.21
1972/1/25,311.82
1972/1/26,311.53
1972/1/27,310.08
1972/1/28,310.46
1972/1/31,310.56
1972/2/1,310.37
1972/2/2,308.55
1972/2/3,309.12
1972/2/4,308.64
1972/2/7,308.17
1972/2/8,307.69
1972/2/9,304.79
1972/2/10,304.69
1972/2/11,304.69
1972/2/14,304.23
1972/2/15,304.14
1972/2/16,303.95
1972/2/17,303.95
1972/2/18,303.49
1972/2/22,302.85
1972/2/23,302.48
1972/2/24,302.11
1972/2/25,302.48
1972/2/28,303.95
1972/2/29,303.4
1972/3/1,303.21
1972/3/2,303.03
1972/3/3,302.66
1972/3/6,302.75
1972/3/7,302.3
1972/3/8,302.02
1972/3/9,301.66
1972/3/10,301.93
1972/3/13,302.3
1972/3/14,302.21
1972/3/15,302.11
1972/3/16,302.02
1972/3/17,302.11
1972/3/20,302.3
1972/3/21,302.11
1972/3/22,302.11
1972/3/23,301.93
1972/3/24,302.3
1972/3/27,302.57
1972/3/28,302.85
1972/3/29,303.77
1972/3/30,303.77
1972/3/31,304.32
1972/4/3,304.14
1972/4/4,304.97
1972/4/5,305.16
1972/4/6,304.88
1972/4/7,303.21
1972/4/10,302.11
1972/4/11,302.3
1972/4/12,302.43
1972/4/13,302.57
1972/4/14,302.94
1972/4/17,302.57
1972/4/18,302.39
1972/4/19,302.94
1972/4/20,303.03
1972/4/21,303.21
1972/4/24,305.16
1972/4/25,304.32
1972/4/26,303.77
1972/4/27,304.23
1972/4/28,304.88
