Date,USD
2002/4/1,133.15
2002/4/2,133.2
2002/4/3,133.2
2002/4/4,133.1
2002/4/5,132.3
2002/4/8,131.55
2002/4/9,131.55
2002/4/10,130.7
2002/4/11,131.1
2002/4/12,131.55
2002/4/15,132.2
2002/4/16,131.85
2002/4/17,130.95
2002/4/18,130.6
2002/4/19,130.1
2002/4/22,130.3
2002/4/23,129.9
2002/4/24,130.25
2002/4/25,129.45
2002/4/26,128.75
2002/4/30,128.35
2002/5/1,128.6
2002/5/2,127.45
2002/5/7,127
2002/5/8,128.2
2002/5/9,128.9
2002/5/10,128.65
2002/5/13,127.3
2002/5/14,127.9
2002/5/15,128.45
2002/5/16,127.8
2002/5/17,127.75
2002/5/20,125.9
2002/5/21,125.9
2002/5/22,123.9
2002/5/23,124.4
2002/5/24,125
2002/5/27,124.85
2002/5/28,124.85
2002/5/29,124.7
2002/5/30,124.25
2002/5/31,123.45
2002/6/3,124.45
2002/6/4,123.65
2002/6/5,124.1
2002/6/6,124.25
2002/6/7,124.2
2002/6/10,124.55
2002/6/11,124.75
2002/6/12,125.45
2002/6/13,125.65
2002/6/14,124.95
2002/6/17,124.2
2002/6/18,124.35
2002/6/19,124.35
2002/6/20,124.25
2002/6/21,123.45
2002/6/24,121.65
2002/6/25,121.6
2002/6/26,121.2
2002/6/27,120.15
2002/6/28,119.45
2002/7/1,119.8
2002/7/2,119.8
2002/7/3,120.15
2002/7/4,119.95
2002/7/5,120.45
2002/7/8,119.4
2002/7/9,118.9
2002/7/10,118.2
2002/7/11,117.65
2002/7/12,117.25
2002/7/15,116.5
2002/7/16,116.35
2002/7/17,116
2002/7/18,116.55
2002/7/19,116.4
2002/7/22,116.15
2002/7/23,116.6
2002/7/24,117.5
2002/7/25,116.55
2002/7/26,116.7
2002/7/29,118.65
2002/7/30,119.65
2002/7/31,120.05
2002/8/1,119.95
2002/8/2,119
2002/8/5,118.95
2002/8/6,119.7
2002/8/7,121
2002/8/8,120.15
2002/8/9,121.2
2002/8/12,119.85
2002/8/13,118.9
2002/8/14,118.25
2002/8/15,117.4
2002/8/16,117.5
2002/8/19,117.55
2002/8/20,118.6
2002/8/21,118.5
2002/8/22,119.1
2002/8/23,119.9
2002/8/26,119.5
2002/8/27,119.7
2002/8/28,118.3
2002/8/29,118.9
2002/8/30,117.95
2002/9/2,118.7
2002/9/3,118.15
2002/9/4,117.25
2002/9/5,118.15
2002/9/6,118.6
2002/9/9,118.7
2002/9/10,118.85
2002/9/11,119.8
2002/9/12,120.35
2002/9/13,119.8
2002/9/17,122.4
2002/9/18,122.1
2002/9/19,121.9
2002/9/20,121.85
2002/9/24,123.7
2002/9/25,123.15
2002/9/26,122.6
2002/9/27,122.4
2002/9/30,122.6
2002/10/1,122.15
2002/10/2,122.85
2002/10/3,122.95
2002/10/4,122.6
2002/10/7,123.2
2002/10/8,124.25
2002/10/9,123.95
2002/10/10,123.3
2002/10/11,123.6
2002/10/15,124.55
2002/10/16,124.9
2002/10/17,124.75
2002/10/18,125.25
2002/10/21,125.45
2002/10/22,125
2002/10/23,125.05
2002/10/24,124.5
2002/10/25,124.4
2002/10/28,124.5
2002/10/29,123.6
2002/10/30,122.9
2002/10/31,123.2
2002/11/1,122.7
2002/11/5,122.05
2002/11/6,122.2
2002/11/7,121.7
2002/11/8,121.35
2002/11/11,119.95
2002/11/12,119.7
2002/11/13,119.85
2002/11/14,120.25
2002/11/15,120.7
2002/11/18,120.45
2002/11/19,120.9
2002/11/20,122.4
2002/11/21,122.65
2002/11/22,122.85
2002/11/25,123.2
2002/11/26,121.95
2002/11/27,121.7
2002/11/28,122.35
2002/11/29,122.4
2002/12/2,122.85
2002/12/3,124.45
2002/12/4,124.25
2002/12/5,124.65
2002/12/6,125.1
2002/12/9,123.3
2002/12/10,123.4
2002/12/11,123.95
2002/12/12,123.6
2002/12/13,122.5
2002/12/16,120.6
2002/12/17,121.35
2002/12/18,121.35
2002/12/19,121.05
2002/12/20,120.8
2002/12/24,120.35
2002/12/25,120.35
2002/12/26,120.35
2002/12/27,120.2
2002/12/30,119.95
2003/1/6,119.85
2003/1/7,119.4
2003/1/8,120.25
2003/1/9,118.9
2003/1/10,119.65
2003/1/14,118.95
2003/1/15,118.1
2003/1/16,118.25
2003/1/17,118
2003/1/20,118.05
2003/1/21,118.5
2003/1/22,118.2
2003/1/23,118.6
2003/1/24,118.05
2003/1/27,117.9
2003/1/28,118.5
2003/1/29,118.6
2003/1/30,118.7
2003/1/31,119.05
2003/2/3,119.95
2003/2/4,120.35
2003/2/5,119.75
2003/2/6,120.2
2003/2/7,119.75
2003/2/10,120.45
2003/2/12,121.1
2003/2/13,121.25
2003/2/14,120.45
2003/2/17,120.75
2003/2/18,119.85
2003/2/19,119
2003/2/20,118.9
2003/2/21,118.45
2003/2/24,118.5
2003/2/25,118.15
2003/2/26,117.45
2003/2/27,117.1
2003/2/28,117.75
2003/3/3,118.2
2003/3/4,117.55
2003/3/5,117.4
2003/3/6,117.4
2003/3/7,117.5
2003/3/10,116.9
2003/3/11,117
2003/3/12,117.15
2003/3/13,117.9
2003/3/14,118.4
2003/3/17,117.95
2003/3/18,118.6
2003/3/19,118.7
2003/3/20,120.4
2003/3/24,121.25
2003/3/25,120.65
2003/3/26,120
2003/3/27,119.95
2003/3/28,120.1
2003/3/31,120.2
2003/4/1,118.25
2003/4/2,117.9
2003/4/3,119
2003/4/4,119.35
2003/4/7,120.5
2003/4/8,119.9
2003/4/9,120.05
2003/4/10,120.1
2003/4/11,119.7
2003/4/14,120.85
2003/4/15,120.45
2003/4/16,120.4
2003/4/17,119.6
2003/4/18,119.75
2003/4/21,119.7
2003/4/22,120.65
2003/4/23,120.15
2003/4/24,120.5
2003/4/25,120.15
2003/4/28,120
2003/4/30,119.65
2003/5/1,119
2003/5/2,118.65
2003/5/6,118.55
2003/5/7,117.65
2003/5/8,116.6
2003/5/9,117.25
2003/5/12,117
2003/5/13,117.4
2003/5/14,116.8
2003/5/15,116.3
2003/5/16,116.5
2003/5/19,115.6
2003/5/20,117.05
2003/5/21,116.7
2003/5/22,117.5
2003/5/23,117.4
2003/5/26,116.85
2003/5/27,116.65
2003/5/28,117.25
2003/5/29,118.5
2003/5/30,118.3
2003/6/2,119.25
2003/6/3,118.5
2003/6/4,119.3
2003/6/5,118.6
2003/6/6,117.8
2003/6/9,118.5
2003/6/10,118.2
2003/6/11,117.8
2003/6/12,117.9
2003/6/13,117.75
2003/6/16,117.3
2003/6/17,117.55
2003/6/18,118.2
2003/6/19,118.25
2003/6/20,118.5
2003/6/23,118.5
2003/6/24,117.7
2003/6/25,117.95
2003/6/26,118.2
2003/6/27,119.35
2003/6/30,119.75
2003/7/1,119.45
2003/7/2,119.5
2003/7/3,118.3
2003/7/4,118.35
